Language_ID,FastText,Langdetect
jpn,100.0,100.0
pol,98.6,97.6
swa,85.4,98.4
eng,100.0,97.8
por,98.6,96.2
fra,100.0,98.8
rus,99.8,98.2
tha,100.0,100.0
nld,98.6,93.6
zho,100.0,96.2
ara,99.6,99.6
deu,100.0,99.6
bul,99.2,94.8
vie,99.8,100.0
hin,96.8,96.2
ita,99.8,97.6
urd,96.0,96.4
tur,99.8,99.0
ell,100.0,100.0
spa,100.0,98.2
